sale_id,customer_id,product_id,store_id,promo_id,quantity,unit_price,discount_amount,tax_amount,final_amount,sale_date,payment_method,sale_status
57,79,4,10,14,3,129999,58499.55,59669.54,391166.99,2024-08-11,Cash,Returned
58,237,13,15,7,3,12999,0.0,7019.46,46016.46,2024-12-28,Net Banking,Completed
59,1065,18,11,7,3,24999,14999.4,10799.57,70797.17,2024-02-05,EMI,Completed
60,1277,11,11,4,3,1999,1799.1,755.62,4953.52,2024-06-07,EMI,Completed
61,669,13,12,10,5,12999,0.0,11699.1,76694.1,2024-04-08,Net Banking,Cancelled
62,1926,13,11,6,5,12999,6499.5,10529.19,69024.69,2024-07-26,Cash,Completed
63,623,10,4,14,5,2999,2249.25,2294.24,15039.99,2024-08-26,Net Banking,Completed
64,1384,7,9,15,2,12999,0.0,4679.64,30677.64,2024-05-25,Cash,Cancelled
65,1297,20,6,3,2,3999,799.8,1295.68,8493.88,2024-04-25,Credit Card,Completed
66,51,2,4,15,5,89999,0.0,80999.1,530994.1,2024-08-21,Net Banking,Cancelled
67,1179,7,12,13,4,12999,10399.2,7487.42,49084.22,2024-05-04,Credit Card,Cancelled
68,1409,1,15,4,4,129999,25999.8,88919.32,582915.52,2024-03-31,EMI,Returned
69,952,2,9,8,1,89999,22499.75,12149.86,79649.11,2024-03-09,Net Banking,Cancelled
70,1088,18,10,11,4,24999,29998.8,12599.5,82596.7,2024-08-06,Cash,Completed
71,1838,6,12,15,4,15999,6399.6,10367.35,67963.75,2024-05-06,EMI,Completed
72,1569,25,9,15,2,199,39.8,64.48,422.68,2024-08-13,UPI,Cancelled
73,586,8,5,11,3,14999,13499.1,5669.62,37167.52,2024-02-11,Credit Card,Completed
74,474,13,12,5,2,12999,0.0,4679.64,30677.64,2024-07-31,Net Banking,Completed
75,1112,15,7,2,2,7999,3199.6,2303.71,15102.11,2024-07-18,Cash,Cancelled
76,41,25,10,13,4,199,0.0,143.28,939.28,2024-06-29,Debit Card,Completed
77,1748,14,9,8,4,3999,799.8,2735.32,17931.52,2024-05-19,Net Banking,Completed
78,60,13,6,13,2,12999,6499.5,3509.73,23008.23,2024-03-06,Cash,Returned
79,56,13,10,1,1,12999,2599.8,1871.86,12271.06,2024-03-10,Net Banking,Completed
80,103,9,7,11,2,4999,2499.5,1349.73,8848.23,2024-06-16,Debit Card,Completed
81,570,25,14,14,3,199,0.0,107.46,704.46,2024-08-28,UPI,Cancelled
82,1105,2,6,8,1,89999,0.0,16199.82,106198.82,2024-01-16,Credit Card,Completed
83,1719,1,10,5,2,129999,0.0,46799.64,306797.64,2024-08-30,EMI,Completed
84,1156,7,8,9,3,12999,0.0,7019.46,46016.46,2024-11-06,Cash,Cancelled
85,1472,4,13,6,3,129999,0.0,70199.46,460196.46,2024-10-23,UPI,Completed
86,1180,22,15,13,4,299,59.8,204.52,1340.72,2024-02-08,Cash,Cancelled
87,1702,21,4,4,3,599,0.0,323.46,2120.46,2024-10-16,UPI,Completed
88,1092,14,11,12,1,3999,1199.7,503.87,3303.17,2024-11-27,Debit Card,Completed
89,1740,14,14,15,1,3999,799.8,575.86,3775.06,2024-07-04,EMI,Completed
90,1449,5,7,6,5,29999,14999.5,24299.19,159294.69,2024-11-11,Cash,Completed
91,953,14,14,9,3,3999,599.85,2051.49,13448.64,2024-02-14,Debit Card,Completed
92,500,25,8,13,3,199,0.0,107.46,704.46,2024-09-10,Debit Card,Completed
93,999,7,6,9,3,12999,3899.7,6317.51,41414.81,2024-11-01,EMI,Completed
94,1139,1,9,7,1,129999,6499.95,22229.83,145728.88,2024-07-27,Net Banking,Returned
95,1553,8,12,15,4,14999,14999.0,8099.46,53096.46,2024-01-09,UPI,Completed
96,454,13,12,8,3,12999,5849.55,5966.54,39113.99,2024-08-30,Cash,Returned
97,705,14,12,11,3,3999,2999.25,1619.6,10617.35,2024-05-18,Debit Card,Completed
98,473,4,12,7,3,129999,0.0,70199.46,460196.46,2024-10-01,EMI,Completed
99,393,7,12,15,3,12999,11699.1,4913.62,32211.52,2024-11-01,Debit Card,Completed
100,1706,7,5,8,3,12999,0.0,7019.46,46016.46,2024-06-03,UPI,Cancelled
101,1094,5,5,2,1,29999,8999.7,3779.87,24779.17,2024-05-29,EMI,Completed
102,1307,25,8,4,1,199,19.9,32.24,211.34,2024-08-28,Net Banking,Completed
103,698,6,1,9,4,15999,0.0,11519.28,75515.28,2024-02-03,Net Banking,Completed
104,152,19,11,2,2,4999,0.0,1799.64,11797.64,2024-10-15,Debit Card,Completed
105,509,4,9,14,5,129999,32499.75,111149.14,728644.39,2024-09-24,Net Banking,Completed
106,1861,15,5,14,3,7999,0.0,4319.46,28316.46,2024-11-08,EMI,Completed
107,1941,25,4,7,3,199,0.0,107.46,704.46,2024-03-21,Credit Card,Completed
108,1131,3,3,1,4,114999,114999.0,62099.46,407096.46,2024-12-18,Cash,Completed
109,597,2,4,10,3,89999,67499.25,36449.6,238947.35,2024-02-06,EMI,Completed
110,1893,9,13,7,4,4999,0.0,3599.28,23595.28,2024-10-05,Credit Card,Cancelled
111,306,9,14,5,1,4999,0.0,899.82,5898.82,2024-03-25,Debit Card,Returned
112,1534,19,15,10,4,4999,0.0,3599.28,23595.28,2024-08-27,EMI,Completed
113,1434,13,5,15,5,12999,16248.75,8774.32,57520.57,2024-08-12,UPI,Returned
114,82,14,12,11,5,3999,1999.5,3239.19,21234.69,2024-01-14,UPI,Completed
115,1970,22,14,1,3,299,0.0,161.46,1058.46,2024-03-30,Net Banking,Returned
116,1335,15,15,9,2,7999,3199.6,2303.71,15102.11,2024-11-21,Net Banking,Completed
117,963,12,7,11,3,8999,0.0,4859.46,31856.46,2024-03-23,Debit Card,Completed
118,1421,16,5,13,5,5999,0.0,5399.1,35394.1,2024-08-20,UPI,Completed
119,517,11,2,13,5,1999,0.0,1799.1,11794.1,2024-12-02,Cash,Completed
120,847,2,4,15,3,89999,67499.25,36449.6,238947.35,2024-11-16,Net Banking,Completed
121,417,9,9,5,3,4999,3749.25,2024.6,13272.35,2024-12-23,Net Banking,Completed
122,60,21,10,8,2,599,119.8,194.08,1272.28,2024-10-09,UPI,Returned
123,836,3,4,4,4,114999,0.0,82799.28,542795.28,2024-11-27,Credit Card,Completed
124,1911,23,5,15,3,449,269.4,193.97,1271.57,2024-09-04,Net Banking,Completed
125,936,18,3,13,2,24999,14999.4,6299.75,41298.35,2024-03-10,UPI,Completed
126,1583,14,6,15,3,3999,0.0,2159.46,14156.46,2024-05-24,EMI,Completed
127,1716,19,10,15,2,4999,2499.5,1349.73,8848.23,2024-10-02,Net Banking,Completed
128,681,18,13,13,4,24999,14999.4,15299.39,100295.99,2024-04-06,EMI,Completed
129,1172,13,4,14,1,12999,1949.85,1988.85,13038.0,2024-08-30,EMI,Completed
130,791,22,13,5,4,299,0.0,215.28,1411.28,2024-03-05,Cash,Returned
131,680,4,14,15,1,129999,38999.7,16379.87,107379.17,2024-08-21,UPI,Cancelled
132,296,14,14,5,1,3999,999.75,539.87,3539.12,2024-05-15,Debit Card,Returned
133,1419,13,11,3,3,12999,11699.1,4913.62,32211.52,2024-07-13,Debit Card,Cancelled
134,1472,25,8,2,5,199,0.0,179.1,1174.1,2024-04-30,EMI,Cancelled
135,1887,10,4,3,4,2999,0.0,2159.28,14155.28,2024-11-20,EMI,Completed
136,909,6,12,10,1,15999,0.0,2879.82,18878.82,2024-06-15,UPI,Completed
137,735,12,7,5,2,8999,5399.4,2267.75,14866.35,2024-07-29,Cash,Cancelled
138,1624,6,3,6,1,15999,3199.8,2303.86,15103.06,2024-11-13,EMI,Completed
139,1020,19,3,8,4,4999,1999.6,3239.35,21235.75,2024-08-23,Debit Card,Cancelled
140,20,15,15,10,5,7999,0.0,7199.1,47194.1,2024-02-07,Net Banking,Completed
141,1204,10,11,14,3,2999,2249.25,1214.6,7962.35,2024-06-03,Credit Card,Completed
142,1748,16,2,8,4,5999,3599.4,3671.39,24067.99,2024-10-21,Debit Card,Cancelled
143,605,1,14,13,3,129999,0.0,70199.46,460196.46,2024-10-16,EMI,Cancelled
144,1994,2,15,15,3,89999,13499.85,46169.49,302666.64,2024-11-06,Debit Card,Completed
145,1304,7,10,9,2,12999,0.0,4679.64,30677.64,2024-11-17,EMI,Completed
146,633,15,1,12,2,7999,0.0,2879.64,18877.64,2024-05-31,Debit Card,Cancelled
147,851,6,4,5,5,15999,11999.25,12239.23,80234.98,2024-09-28,Cash,Completed
148,1701,6,5,15,3,15999,7199.55,7343.54,48140.99,2024-02-28,Net Banking,Completed
149,289,25,4,13,5,199,149.25,152.23,997.98,2024-02-16,Net Banking,Completed
150,542,18,2,15,3,24999,7499.7,12149.51,79646.81,2024-10-26,Net Banking,Cancelled
151,1926,12,2,8,4,8999,0.0,6479.28,42475.28,2024-11-13,Cash,Completed
152,1875,20,4,3,4,3999,1599.6,2591.35,16987.75,2024-11-28,Net Banking,Completed
153,287,2,1,10,4,89999,0.0,64799.28,424795.28,2024-02-19,Credit Card,Returned
154,278,13,8,12,5,12999,12999.0,9359.28,61355.28,2024-10-27,EMI,Cancelled
155,317,14,11,4,4,3999,3199.2,2303.42,15100.22,2024-05-23,UPI,Cancelled
156,759,7,8,15,2,12999,3899.7,3977.69,26075.99,2024-02-20,EMI,Completed
157,1116,21,6,2,4,599,239.6,388.15,2544.55,2024-04-07,UPI,Completed
158,188,22,4,1,1,299,44.85,45.75,299.9,2024-05-04,Credit Card,Returned
159,421,3,14,7,5,114999,28749.75,98324.14,644569.39,2024-04-29,Debit Card,Completed
160,1616,20,1,9,2,3999,0.0,1439.64,9437.64,2024-10-03,Debit Card,Completed
161,226,22,14,1,2,299,0.0,107.64,705.64,2024-07-02,Credit Card,Returned
162,664,1,3,9,1,129999,0.0,23399.82,153398.82,2024-08-03,Cash,Completed
163,1528,3,8,15,3,114999,103499.1,43469.62,284967.52,2024-10-30,UPI,Completed
164,1032,8,10,2,5,14999,7499.5,12149.19,79644.69,2024-08-22,EMI,Completed
165,125,16,14,13,4,5999,0.0,4319.28,28315.28,2024-09-08,EMI,Completed
166,151,3,6,5,1,114999,0.0,20699.82,135698.82,2024-05-20,Cash,Cancelled
167,1199,18,12,11,4,24999,29998.8,12599.5,82596.7,2024-05-30,Net Banking,Returned
168,1240,14,2,4,5,3999,999.75,3419.14,22414.39,2024-08-08,Net Banking,Completed
169,848,11,14,15,4,1999,1599.2,1151.42,7548.22,2024-02-18,Debit Card,Completed
170,641,22,5,12,2,299,149.5,80.73,529.23,2024-02-04,UPI,Completed
171,191,14,2,12,2,3999,2399.4,1007.75,6606.35,2024-01-31,Cash,Returned
172,1151,11,11,4,4,1999,1199.4,1223.39,8019.99,2024-12-06,Net Banking,Cancelled
173,106,10,10,10,3,2999,0.0,1619.46,10616.46,2024-10-22,Cash,Completed
174,317,22,8,8,1,299,44.85,45.75,299.9,2024-10-11,Debit Card,Completed
175,1562,9,10,8,4,4999,5998.8,2519.5,16516.7,2024-11-14,Cash,Cancelled
176,1317,18,1,9,1,24999,0.0,4499.82,29498.82,2024-05-19,EMI,Completed
177,1888,11,6,1,2,1999,0.0,719.64,4717.64,2024-10-16,EMI,Completed
178,143,5,12,1,1,29999,8999.7,3779.87,24779.17,2024-04-20,Net Banking,Completed
179,930,11,3,12,3,1999,899.55,917.54,6014.99,2024-10-17,Cash,Completed
180,1810,2,3,6,5,89999,0.0,80999.1,530994.1,2024-12-11,UPI,Completed
181,908,22,7,15,5,299,373.75,201.82,1323.07,2024-07-31,Debit Card,Completed
182,1547,17,2,12,4,8999,0.0,6479.28,42475.28,2024-05-25,EMI,Cancelled
183,1215,16,9,10,1,5999,299.95,1025.83,6724.88,2024-07-21,Cash,Completed
184,16,7,5,7,2,12999,2599.8,4211.68,27609.88,2024-05-28,Debit Card,Completed
185,16,16,12,14,2,5999,0.0,2159.64,14157.64,2024-07-13,Cash,Cancelled
186,472,17,9,12,1,8999,1799.8,1295.86,8495.06,2024-01-22,Net Banking,Completed
187,942,3,14,11,5,114999,114999.0,82799.28,542795.28,2024-10-20,Net Banking,Cancelled
188,1312,14,5,4,4,3999,0.0,2879.28,18875.28,2024-06-15,Credit Card,Returned
189,943,23,15,12,1,449,89.8,64.66,423.86,2024-02-24,Credit Card,Completed
190,1207,13,9,3,4,12999,5199.6,8423.35,55219.75,2024-06-22,Credit Card,Completed
191,1596,6,2,15,1,15999,4799.7,2015.87,13215.17,2024-09-18,Credit Card,Completed
192,720,24,14,5,2,28,0.0,10.08,66.08,2024-03-15,Debit Card,Completed
193,356,20,3,3,2,3999,1999.5,1079.73,7078.23,2024-08-25,Cash,Returned
194,920,22,15,11,3,299,0.0,161.46,1058.46,2024-08-13,UPI,Completed
195,906,21,5,9,5,599,0.0,539.1,3534.1,2024-06-29,Cash,Completed
196,636,15,8,2,1,7999,1199.85,1223.85,8023.0,2024-05-26,UPI,Cancelled
197,1770,3,10,15,4,114999,114999.0,62099.46,407096.46,2024-10-24,Cash,Cancelled
198,1835,2,8,7,3,89999,67499.25,36449.6,238947.35,2024-09-13,Credit Card,Completed
199,923,4,13,11,1,129999,38999.7,16379.87,107379.17,2024-11-26,Credit Card,Completed
200,508,23,8,15,5,449,673.5,282.87,1854.37,2024-11-08,Credit Card,Completed
201,764,10,7,14,3,2999,0.0,1619.46,10616.46,2024-11-19,EMI,Completed
202,135,11,2,13,3,1999,599.7,971.51,6368.81,2024-12-02,Cash,Completed
203,683,3,10,5,3,114999,34499.7,55889.51,366386.81,2024-12-01,EMI,Cancelled
204,803,5,10,3,3,29999,26999.1,11339.62,74337.52,2024-07-11,EMI,Completed
205,1666,5,11,15,1,29999,5999.8,4319.86,28319.06,2024-09-17,Debit Card,Completed
206,743,10,3,7,3,2999,2249.25,1214.6,7962.35,2024-04-08,Credit Card,Completed
207,318,3,5,4,5,114999,172498.5,72449.37,474945.87,2024-09-26,UPI,Cancelled
208,690,25,10,5,5,199,199.0,143.28,939.28,2024-03-19,Credit Card,Completed
209,1703,23,13,6,4,449,0.0,323.28,2119.28,2024-07-29,Debit Card,Cancelled
210,1474,8,8,10,4,14999,2999.8,10259.32,67255.52,2024-09-30,Credit Card,Completed
211,1978,16,15,7,3,5999,4499.25,2429.59,15927.34,2024-08-24,Debit Card,Completed
212,1030,17,7,6,2,8999,0.0,3239.64,21237.64,2024-05-08,UPI,Cancelled
213,985,12,9,4,5,8999,0.0,8099.1,53094.1,2024-05-25,UPI,Completed
214,559,15,15,15,2,7999,3199.6,2303.71,15102.11,2024-02-16,Credit Card,Completed
215,1812,12,15,1,4,8999,0.0,6479.28,42475.28,2024-07-21,Cash,Completed
216,483,13,2,12,2,12999,0.0,4679.64,30677.64,2024-06-12,UPI,Cancelled
217,1332,11,13,5,2,1999,0.0,719.64,4717.64,2024-05-26,Net Banking,Cancelled
218,1703,5,13,15,4,29999,0.0,21599.28,141595.28,2024-02-10,UPI,Completed
219,442,5,9,15,4,29999,0.0,21599.28,141595.28,2024-05-27,Credit Card,Completed
220,250,2,4,14,5,89999,112498.75,60749.32,398245.57,2024-02-02,UPI,Completed
221,1223,18,1,15,5,24999,6249.75,21374.15,140119.4,2024-03-14,Debit Card,Completed
222,4,20,6,8,5,3999,3999.0,2879.28,18875.28,2024-04-05,EMI,Cancelled
223,176,17,6,3,5,8999,13498.5,5669.37,37165.87,2024-09-16,Cash,Returned
224,42,13,14,15,1,12999,2599.8,1871.86,12271.06,2024-07-10,Debit Card,Cancelled
225,34,12,13,3,3,8999,1349.85,4616.49,30263.64,2024-12-02,EMI,Completed
226,1581,19,12,11,2,4999,0.0,1799.64,11797.64,2024-06-29,Cash,Completed
227,1667,21,3,15,4,599,0.0,431.28,2827.28,2024-03-10,UPI,Cancelled
228,1590,15,1,10,2,7999,0.0,2879.64,18877.64,2024-04-12,UPI,Completed
229,1912,10,9,13,5,2999,3748.75,2024.32,13270.57,2024-05-09,UPI,Cancelled
230,392,10,6,2,3,2999,899.7,1457.51,9554.81,2024-03-04,Debit Card,Completed
231,1822,13,12,15,4,12999,7799.4,7955.39,52151.99,2024-04-05,Net Banking,Cancelled
232,1019,12,15,15,3,8999,0.0,4859.46,31856.46,2024-08-05,UPI,Completed
233,1234,6,9,10,3,15999,0.0,8639.46,56636.46,2024-02-10,Debit Card,Cancelled
234,606,10,8,14,2,2999,1499.5,809.73,5308.23,2024-06-28,Net Banking,Completed
235,1489,12,10,14,3,8999,0.0,4859.46,31856.46,2024-02-08,EMI,Cancelled
236,832,12,9,6,1,8999,0.0,1619.82,10618.82,2024-11-07,EMI,Completed
237,72,5,2,8,3,29999,13499.55,13769.54,90266.99,2024-07-15,Cash,Completed
238,1240,5,11,15,3,29999,13499.55,13769.54,90266.99,2024-08-15,UPI,Returned
239,282,17,6,13,3,8999,2699.7,4373.51,28670.81,2024-05-07,UPI,Completed
240,1507,6,8,15,4,15999,19198.8,8063.5,52860.7,2024-03-01,Debit Card,Completed
241,1442,15,4,10,4,7999,1599.8,5471.32,35867.52,2024-03-03,Credit Card,Completed
242,926,6,15,15,1,15999,2399.85,2447.85,16047.0,2024-12-07,Debit Card,Cancelled
243,133,18,9,10,3,24999,0.0,13499.46,88496.46,2024-12-30,EMI,Cancelled
244,1307,6,13,12,5,15999,3999.75,13679.14,89674.39,2024-03-03,Credit Card,Completed
245,485,16,1,12,5,5999,4499.25,4589.23,30084.98,2024-08-27,Cash,Completed
246,1254,3,2,10,4,114999,114999.0,62099.46,407096.46,2024-09-26,Net Banking,Completed
247,1687,19,2,5,3,4999,0.0,2699.46,17696.46,2024-08-18,Net Banking,Cancelled
248,1060,12,3,6,2,8999,3599.6,2591.71,16990.11,2024-09-14,UPI,Completed
249,1062,5,5,6,2,29999,8999.7,9179.69,60177.99,2024-12-29,Credit Card,Completed
250,1941,17,15,10,1,8999,899.9,1457.84,9556.94,2024-04-10,EMI,Returned
251,563,5,11,10,5,29999,44998.5,18899.37,123895.87,2024-02-17,Cash,Cancelled
252,346,19,10,5,2,4999,1499.7,1529.69,10027.99,2024-10-15,UPI,Completed
253,167,2,11,9,2,89999,35999.6,25919.71,169918.11,2024-11-12,EMI,Completed
254,1020,21,9,10,3,599,449.25,242.59,1590.34,2024-05-05,EMI,Completed
255,610,15,2,2,2,7999,3999.5,2159.73,14158.23,2024-07-31,Net Banking,Completed
256,418,11,10,5,3,1999,899.55,917.54,6014.99,2024-06-25,Net Banking,Completed
257,1558,12,9,4,3,8999,1349.85,4616.49,30263.64,2024-08-26,UPI,Completed
258,921,8,3,4,1,14999,1499.9,2429.84,15928.94,2024-07-15,Cash,Completed
259,509,6,14,11,5,15999,11999.25,12239.23,80234.98,2024-04-07,Credit Card,Completed
260,1055,15,8,10,4,7999,0.0,5759.28,37755.28,2024-02-16,Net Banking,Returned
261,937,8,4,12,1,14999,0.0,2699.82,17698.82,2024-05-24,Net Banking,Returned
262,1808,21,11,15,3,599,539.1,226.42,1484.32,2024-01-05,UPI,Completed
263,275,9,12,12,4,4999,2999.4,3059.39,20055.99,2024-01-24,Net Banking,Completed
264,1168,18,4,12,5,24999,12499.5,20249.19,132744.69,2024-02-07,Net Banking,Returned
265,923,25,9,9,5,199,0.0,179.1,1174.1,2024-03-06,UPI,Completed
266,765,11,9,12,2,1999,199.9,683.66,4481.76,2024-11-04,Cash,Completed
267,1025,2,1,2,2,89999,26999.7,27539.69,180537.99,2024-08-30,Cash,Completed
268,306,20,15,15,2,3999,1199.7,1223.69,8021.99,2024-11-09,Debit Card,Completed
269,805,20,12,10,5,3999,2999.25,3059.23,20054.98,2024-09-16,Cash,Returned
270,1004,23,10,10,4,449,0.0,323.28,2119.28,2024-07-07,Debit Card,Cancelled
271,225,14,10,10,1,3999,999.75,539.87,3539.12,2024-05-15,EMI,Returned
272,1183,8,12,2,5,14999,18748.75,10124.32,66370.57,2024-03-28,Cash,Cancelled
273,1477,20,13,13,2,3999,399.9,1367.66,8965.76,2024-01-17,Cash,Cancelled
274,226,7,1,15,3,12999,7799.4,5615.57,36813.17,2024-03-18,Net Banking,Cancelled
275,418,14,9,15,1,3999,0.0,719.82,4718.82,2024-09-22,Credit Card,Returned
276,666,22,8,15,4,299,179.4,182.99,1199.59,2024-03-29,Net Banking,Returned
277,702,18,6,9,5,24999,31248.75,16874.33,110620.58,2024-04-08,Credit Card,Completed
278,1143,10,4,10,3,2999,449.85,1538.49,10085.64,2024-12-19,EMI,Completed
279,650,16,6,9,3,5999,0.0,3239.46,21236.46,2024-10-20,EMI,Returned
280,778,13,14,12,2,12999,2599.8,4211.68,27609.88,2024-01-22,Debit Card,Cancelled
281,162,12,15,15,3,8999,6749.25,3644.59,23892.34,2024-04-19,Credit Card,Returned
282,556,18,12,9,2,24999,0.0,8999.64,58997.64,2024-11-11,EMI,Returned
283,491,8,1,15,2,14999,1499.9,5129.66,33627.76,2024-01-27,UPI,Completed
284,677,23,8,4,2,449,0.0,161.64,1059.64,2024-10-08,Credit Card,Completed
285,1338,16,8,7,3,5999,2699.55,2753.54,18050.99,2024-05-26,EMI,Completed
286,1860,25,2,8,5,199,0.0,179.1,1174.1,2024-03-30,Net Banking,Completed
287,1913,2,14,13,4,89999,0.0,64799.28,424795.28,2024-05-28,UPI,Completed
288,612,19,10,4,3,4999,1499.7,2429.51,15926.81,2024-08-20,EMI,Returned
289,1074,16,15,5,5,5999,7498.75,4049.32,26545.57,2024-05-19,Credit Card,Completed
290,678,6,12,15,3,15999,0.0,8639.46,56636.46,2024-01-08,EMI,Completed
291,1620,10,10,7,2,2999,1199.6,863.71,5662.11,2024-08-06,Cash,Completed
292,178,13,11,4,2,12999,0.0,4679.64,30677.64,2024-09-01,Debit Card,Completed
293,14,9,7,8,4,4999,1999.6,3239.35,21235.75,2024-06-17,Debit Card,Returned
294,1481,19,1,9,3,4999,749.85,2564.49,16811.64,2024-02-01,EMI,Completed
295,954,10,3,13,5,2999,1499.5,2429.19,15924.69,2024-12-19,UPI,Cancelled
296,1877,10,6,8,2,2999,0.0,1079.64,7077.64,2024-09-01,Credit Card,Completed
297,1532,20,6,14,5,3999,4998.75,2699.32,17695.57,2024-10-02,EMI,Completed
298,1561,8,11,3,5,14999,18748.75,10124.32,66370.57,2024-09-27,EMI,Completed
299,160,19,2,2,5,4999,7498.5,3149.37,20645.87,2024-04-13,Cash,Returned
300,307,6,6,15,4,15999,0.0,11519.28,75515.28,2024-12-14,Credit Card,Cancelled
301,1195,16,2,15,4,5999,0.0,4319.28,28315.28,2024-08-20,Credit Card,Returned
302,851,15,10,2,5,7999,9998.75,5399.32,35395.57,2024-12-10,Debit Card,Cancelled
